"";"activity_code_avdth";"activity_code_observe";"set_success_status_code_observe";"objectoperation_code_observe";"schooltype_code_observe";"time_at_sea";"fishing_time";"set_duration";"activity_label_observe";"activity_label_avdth";"objectoperation_label_observe";"schooltype_label_observe";"status_active_observe";"comment"
"72";19;29;NA;NA;NA;1;1;0;"Transshipment to a bait boat";"Transshipment to a bait boat";NA;NA;1;NA
"73";20;30;NA;NA;NA;1;1;0;"Transshipment from a bait boat";"Transshipment from a bait boat";NA;NA;1;NA
"74";35;31;NA;NA;NA;1;1;0;"Fish discard";"Discard";NA;NA;1;NA
"75";2;32;NA;NA;NA;1;0;1;"Activity/set created from the well plan";"Unknown set";NA;NA;0;"fishing_time=set_duration"
"76";36;36;NA;NA;NA;1;0;0;"Refueling";"Refueling";NA;NA;1;NA
"77";37;37;NA;NA;NA;1;0;0;"Medical evacuation";"Medical evacuation";NA;NA;1;NA
"78";38;38;NA;NA;NA;1;0;0;"This vessel towed";"Vessel towed";NA;NA;1;NA
"79";39;39;NA;NA;NA;1;0;0;"Towing another vessel";"Towing another vessel";NA;NA;1;NA
"80";99;50;NA;NA;NA;1;0;0;"Training on board (priracy, fire, abandonment, etc)";"Other non-fishing activities";NA;NA;1;NA
"81";15;51;NA;NA;NA;0;0;0;"Transfert at port of a crew member";"At port";NA;NA;1;NA
"82";52;52;NA;NA;NA;0;0;0;"Fake set, for hosting historical samples";"Fake set, for hosting historical samples";NA;NA;0;NA
"83";99;99;NA;NA;NA;1;0;0;"Other (to detail in the comments)";"Other non-fishing activities";NA;NA;1;NA
"84";4;101;NA;99;NA;1;0;0;"[deprecated] Transit (steaming without searching)";"Transit (steaming without searching)";NA;NA;0;"If DCP delared in AVDTH database. (In AVDTH database, there are DCPs declared for activities that are not compatible with the use of a DCP in ObServe database)."
"85";4;101;NA;NA;NA;1;0;0;"[deprecated] Transit (steaming without searching)";"Transit (steaming without searching)";NA;NA;0;NA
"86";3;102;NA;99;NA;1;1;0;"[deprecated] Searching (in general)";"Searching";NA;NA;0;"If DCP delared in AVDTH database. (In AVDTH database, there are DCPs declared for activities that are not compatible with the use of a DCP in ObServe database)."
"87";3;102;NA;NA;NA;1;1;0;"[deprecated] Searching (in general)";"Searching";NA;NA;0;NA
"88";4;103;NA;NA;NA;1;0;0;"Day without activity";"Transit (steaming without searching)";NA;NA;1;NA
"89";104;104;NA;NA;NA;1;0;0;"Transit (added by t3R)";"Transit (added by t3R)";NA;NA;0;"Activity added by t3R to allocate time at sea when no activity allows the time at sea declared on a given date to be allocated."
"90";105;105;NA;NA;NA;1;1;0;"Searching  (added by t3R)";"Searching  (added by t3R)";NA;NA;0;"Activity added by t3R to allocate fishing time when no activity allows the fishing time on a given date to be allocated."
